Employee Name,EID,Address,Phone Number,DOB,Security Clearance
Cheyenne Kinman,75460543,"33 Alton Drive, Longview, TX 75604",(363) 656-8500,12/2/1959,TS
Elvia Sandin,14073739,"8570 Miller St, Olney, MD 20832",(353) 383-7039,9/25/1961,TS
Andria Hosea,78314644,"3 Thorne St, Irwin, PA 15642",(883) 141-3702,11/17/1962,S
Bernice Saulsbury,27009383,"7 East Hill Field Ave, Allison Park, PA 15101",(887) 881-7685,12/21/1962,C
Marina Peirce,54317838,"8071 Main Dr, Salisbury, MD 21801",(593) 776-5568,12/3/1963,U
Chiquita Dearth,45330376,"133 Glenlake Street, Hamburg, NY 14075",(499) 554-9166,12/21/1963,U
Marquita Cogley,30281481,"833 Grand St, Boca Raton, FL 33428",(145) 164-5833,4/14/1965,U
Iliana Steckel,72236928,"90 Galvin Court, Westmont, IL 60559",(538) 450-2263,1/29/1969,S
Audra Kraushaar,85664529,"22 E. Thatcher St, Powhatan, VA 23139",(601) 246-5892,4/5/1970,C
Earnestine Suther,58233698,"794 Country Club Road, Alpharetta, GA 30004",(525) 947-9896,8/8/1970,C
Norene Moorer,30875785,"958 Lyme Court, Corpus Christi, TX 78418",(404) 878-4114,10/15/1970,C
Elliot Cass,46801300,"432 Homestead St, Roselle, IL 60172",(833) 751-7609,7/30/1973,C
Eugenie Sitzman,52917630,"69 East Paris Hill Street, Oakland Gardens, NY 11364",(150) 719-3235,10/10/1973,U
Charmain Ramirez,63549388,"53 Vernon Rd, Stevens Point, WI 54481",(206) 347-7966,5/28/1974,U
Melodee Armor,7364994,"95 6th Rd, Columbia, MD 21044",(343) 770-2357,1/29/1979,S
Alma Vella,46498864,"916 Cemetery Court, Rolling Meadows, IL 60008",(672) 893-5708,9/30/1979,U
Shin Tafoya,46260592,"452 1st Drive, Gloucester, MA 01930",(908) 939-3101,11/9/1979,C
Aleisha Fossum,6873883,"397 NE. Bear Hill Avenue, Hyattsville, MD 20782",(142) 411-7821,9/8/1981,U
Ivonne Veal,6563379,"3 West Vermont Ave, Hartford, CT 06106",(603) 653-8723,7/26/1982,C
Shannon Schiavo,22705342,"219 Strawberry St, Willoughby, OH 44094",(135) 751-2988,5/31/1986,C
Debra Diggs,24925067,"93 Hill Street, Grand Rapids, MI 49503",(694) 854-6913,12/16/1988,TS
Lynne Manis,93357053,"792 Summer St, Mocksville, NC 27028",(836) 898-9203,1/27/1989,U
Tonita Curry,31214524,"3 Bedford St, New Castle, PA 16101",(354) 972-5454,2/23/1989,U
Marvis Warriner,26379638,"605 White Ave, Shrewsbury, MA 01545",(722) 942-1660,3/15/1990,C
Abraham Cobbley,32921835,"717 Lakewood St, Goshen, IN 46526",(993) 280-1911,12/5/1990,S
Aundrea Aylesworth,87603447,"51 Cleveland Street, Lapeer, MI 48446",(910) 871-7195,12/3/1988,C
Maryrose Dionisio,45755800,"7899 Smith Store Ave, Oxon Hill, MD 20745",(379) 616-0942,8/5/1961,C
Lorri Marrinan,44369543,"27 Lafayette St, Plainview, NY 11803",(138) 417-4709,3/2/1966,C
Lashandra Montufar,15486394,"8340 North Bayport Avenue, New Bedford, MA 02740",(270) 205-0640,10/10/1975,S
Stephani Swarthout,31921800,"39 Roehampton Ave, Santa Cruz, CA 95060",(802) 925-5373,5/8/1989,C
